"state","popsize"
"AL",4876250
"AK",737068
"AZ",7050299
"AR",2999370
"CA",39283497
"CO",5610349
"CT",3575074
"DE",957248
"DC",692683
"FL",20901636
"GA",10403847
"HI",1422094
"ID",1717750
"IL",12770631
"IN",6665703
"IA",3139508
"KS",2910652
"KY",4449052
"LA",4664362
"ME",1335492
"MD",6018848
"MA",6850553
"MI",9965265
"MN",5563378
"MS",2984418
"MO",6104910
"MT",1050649
"NE",1914571
"NV",2972382
"NH",1348124
"NJ",8878503
"NM",2092454
"NY",19572319
"NC",10264876
"ND",756717
"OH",11655397
"OK",3932870
"OR",4129803
"PA",12791530
"RI",1057231
"SC",5020806
"SD",870638
"TN",6709356
"TX",28260856
"UT",3096848
"VT",624313
"VA",8454463
"WA",7404107
"WV",1817305
"WI",5790716
"WY",581024
"PR",3318447
